canal_section	surveyors	tree_number	species	number_of_trees	height_metres	diameter_centimetres	w3w_url	gmaps_url	condition	action	survey_limitation	photo_1	photo_2	photo_3	photo_4
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-012	Willow	8	14.0	48.0	"=HYPERLINK(""https://what3words.com/brand.billiard.sticky"",""brand.billiard.sticky"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776817%2C-2.35007"",""(51.776817, -2.35007)"")"	"
Lots of ivy in crown
Branch overhanging path.  Broken hanging branch in canope"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-012-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-013	Sycamore	1			"=HYPERLINK(""https://what3words.com/croaking.stunts.parkland"",""croaking.stunts.parkland"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776817%2C-2.349895"",""(51.776817, -2.349895)"")"	"

"	"
"	Could not safely access other side of tree				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-014	Willow	1			"=HYPERLINK(""https://what3words.com/stars.livid.deep"",""stars.livid.deep"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77679%2C-2.349765"",""(51.77679, -2.349765)"")"	"
Lots of ivy in crown
Rotten truck.  Big branch on path"	"Remove Branch obstruction
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-014-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-015	Willow	1	16.0		"=HYPERLINK(""https://what3words.com/mothering.dote.recording"",""mothering.dote.recording"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776864%2C-2.349855"",""(51.776864, -2.349855)"")"	"
Lots of ivy in crown
Leaning with ivy on the canopy"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-015-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-016	Sycamore	1	9.0	35.0	"=HYPERLINK(""https://what3words.com/page.corkscrew.hood"",""page.corkscrew.hood"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776891%2C-2.349809"",""(51.776891, -2.349809)"")"	"

"	"
"	No				
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-017	Willow	1	17.0		"=HYPERLINK(""https://what3words.com/rejects.finalists.hiring"",""rejects.finalists.hiring"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776859%2C-2.349704"",""(51.776859, -2.349704)"")"	"
Lots of ivy in crown
Leaning weight of ivy on the canopy"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-017-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-018	Willow	1	16.0		"=HYPERLINK(""https://what3words.com/swift.earphones.incensed"",""swift.earphones.incensed"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776816%2C-2.349674"",""(51.776816, -2.349674)"")"	"

"	"
"	Could not safely access other side of tree				
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-019	Sycamore	1	17.0	95.0	"=HYPERLINK(""https://what3words.com/simmer.absorbs.stall"",""simmer.absorbs.stall"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776888%2C-2.349575"",""(51.776888, -2.349575)"")"	"

"	"
"	No				
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-020	Willow	1	14.0		"=HYPERLINK(""https://what3words.com/actors.ringers.shaver"",""actors.ringers.shaver"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776787%2C-2.349346"",""(51.776787, -2.349346)"")"	"
Lots of ivy in crown
Intertwined with ash"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-020-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-021	Ash	1	14.0		"=HYPERLINK(""https://what3words.com/little.pasting.consented"",""little.pasting.consented"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776827%2C-2.349372"",""(51.776827, -2.349372)"")"	"Class 1 - 100% to 75%

"	"
"	Could not safely access other side of tree				
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-022	Willow	1	16.0		"=HYPERLINK(""https://what3words.com/warned.erupt.waddle"",""warned.erupt.waddle"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77683%2C-2.349243"",""(51.77683, -2.349243)"")"	"

"	"
"	Could not safely access other side of tree				
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-023	Willow	1	16.0		"=HYPERLINK(""https://what3words.com/mouths.lock.insiders"",""mouths.lock.insiders"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776831%2C-2.349184"",""(51.776831, -2.349184)"")"	"
Lots of ivy in crown
Heavy ivy in canopy

Base of tree is split"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-023-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-024	Willow	1	13.0		"=HYPERLINK(""https://what3words.com/haircuts.dream.weaned"",""haircuts.dream.weaned"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776819%2C-2.34909"",""(51.776819, -2.34909)"")"	"
Lots of ivy in crown
Heavy ivy in branch overhanging path

Path blocked by branch"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-024-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-025	Elder	1	8.0		"=HYPERLINK(""https://what3words.com/collides.bunny.withdrew"",""collides.bunny.withdrew"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776829%2C-2.348661"",""(51.776829, -2.348661)"")"	"
Lots of ivy in crown
Neighbouring willow branch has Fallen in middle"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-025-elder-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"19/10/2021
Debbie Campbell,Chris Shaw"	WAB-026	Willow	2	16.0	57.0	"=HYPERLINK(""https://what3words.com/increment.butterfly.quoted"",""increment.butterfly.quoted"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776829%2C-2.348602"",""(51.776829, -2.348602)"")"	"
Lots of ivy in crown
Bending lots of ivy it’s over hanging the canal, Brocken trunk fallen on neighbouring Elder. Target on witminster lock bridge"	"Second opinion from Arboriculturalist
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-026-willow-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-026-willow-condition.jpg"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"",""Photo 2"")"		
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-001	Ash	1	18.0		"=HYPERLINK(""https://what3words.com/custard.clef.smudges"",""custard.clef.smudges"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77717%2C-2.348645"",""(51.77717, -2.348645)"")"	"Class 1 - 100% to 75%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-001-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-002	Ash	1	12.0	17.0	"=HYPERLINK(""https://what3words.com/badly.walked.costumed"",""badly.walked.costumed"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776999%2C-2.348667"",""(51.776999, -2.348667)"")"	"Class 1 - 100% to 75%

"	"
"	No	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-002-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-003	Sycamore	1	14.0	78.0	"=HYPERLINK(""https://what3words.com/hacksaw.boil.mascot"",""hacksaw.boil.mascot"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77709%2C-2.348501"",""(51.77709, -2.348501)"")"	"

"	"
"	Other				
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-004	Ash	1	13.0		"=HYPERLINK(""https://what3words.com/brother.overruns.safely"",""brother.overruns.safely"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776938%2C-2.348392"",""(51.776938, -2.348392)"")"	"Class 2 - 75% to 50%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-004-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-005	Hawthorn	1	8.0		"=HYPERLINK(""https://what3words.com/backyards.tools.gliders"",""backyards.tools.gliders"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776995%2C-2.348246"",""(51.776995, -2.348246)"")"	"

"	"
"	Could not safely access other side of tree				
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-006	Ash	5	20.0		"=HYPERLINK(""https://what3words.com/lake.mows.target"",""lake.mows.target"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776968%2C-2.348206"",""(51.776968, -2.348206)"")"	"Class 1 - 100% to 75%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-006-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-007	Ash	1	15.0		"=HYPERLINK(""https://what3words.com/distanced.creatures.awaited"",""distanced.creatures.awaited"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776855%2C-2.348069"",""(51.776855, -2.348069)"")"	"Class 1 - 100% to 75%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-007-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-008	Sycamore	6	17.0		"=HYPERLINK(""https://what3words.com/download.twigs.scariest"",""download.twigs.scariest"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776945%2C-2.347978"",""(51.776945, -2.347978)"")"	"

"	"
"	Could not safely access other side of tree				
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-009	Ash	2	15.0		"=HYPERLINK(""https://what3words.com/radiates.cherub.believer"",""radiates.cherub.believer"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776953%2C-2.34788"",""(51.776953, -2.34788)"")"	"Class 2 - 75% to 50%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-009-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"19/10/2021
Keith Tibbitts,Chris Shaw"	WHL-010	Ash	1	13.0		"=HYPERLINK(""https://what3words.com/relieves.peach.exile"",""relieves.peach.exile"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776907%2C-2.347785"",""(51.776907, -2.347785)"")"	"Class 3 - 50% to 25%

"	"
"	Could not safely access other side of tree	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-010-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-011	Alder	7	12.0		"=HYPERLINK(""https://what3words.com/creatures.rotation.seatbelt"",""creatures.rotation.seatbelt"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776924%2C-2.346627"",""(51.776924, -2.346627)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-012	Willow	1	20.0		"=HYPERLINK(""https://what3words.com/manifests.cutlets.popping"",""manifests.cutlets.popping"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776817%2C-2.346147"",""(51.776817, -2.346147)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-013	Willow	1	5.0		"=HYPERLINK(""https://what3words.com/cycles.bypassed.streetcar"",""cycles.bypassed.streetcar"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77679%2C-2.346104"",""(51.77679, -2.346104)"")"	"
Lots of ivy in crown
Fallen into water"	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-013-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-014	Willow	3	14.0		"=HYPERLINK(""https://what3words.com/cost.chariots.depended"",""cost.chariots.depended"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776682%2C-2.345842"",""(51.776682, -2.345842)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-015	Alder	4	12.0		"=HYPERLINK(""https://what3words.com/visit.plastic.promoting"",""visit.plastic.promoting"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776601%2C-2.345668"",""(51.776601, -2.345668)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-016	Willow	1	12.0		"=HYPERLINK(""https://what3words.com/visit.plastic.promoting"",""visit.plastic.promoting"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776601%2C-2.345668"",""(51.776601, -2.345668)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-017	Willow	1	15.0		"=HYPERLINK(""https://what3words.com/pretty.printer.rant"",""pretty.printer.rant"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776439%2C-2.345406"",""(51.776439, -2.345406)"")"	"
Lots of ivy in crown
Looking dead and hanging into River"	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-017-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-018	Hawthorn	1	5.0		"=HYPERLINK(""https://what3words.com/lyricist.secret.fingernails"",""lyricist.secret.fingernails"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776339%2C-2.345635"",""(51.776339, -2.345635)"")"	"

"	"
"	Could not safely access other side of tree				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-019	Alder	20	15.0		"=HYPERLINK(""https://what3words.com/chef.shuttered.lightly"",""chef.shuttered.lightly"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776439%2C-2.345363"",""(51.776439, -2.345363)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-020	Sycamore	8	12.0		"=HYPERLINK(""https://what3words.com/gliders.aliens.meanest"",""gliders.aliens.meanest"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77617%2C-2.344927"",""(51.77617, -2.344927)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-021	Willow	1	18.0		"=HYPERLINK(""https://what3words.com/gliders.aliens.meanest"",""gliders.aliens.meanest"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77617%2C-2.344927"",""(51.77617, -2.344927)"")"	"

"	"
"	On other side of bank				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-022	Willow	1	3.0		"=HYPERLINK(""https://what3words.com/kindest.spirits.qualifier"",""kindest.spirits.qualifier"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776116%2C-2.344883"",""(51.776116, -2.344883)"")"	"
Lots of ivy in crown
Fallen into River"	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WHL-022-willow-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-023	Sycamore	8	12.0		"=HYPERLINK(""https://what3words.com/bandage.growl.showrooms"",""bandage.growl.showrooms"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776008%2C-2.344752"",""(51.776008, -2.344752)"")"	"

"	"
"	Other				
2 – Whitminster Lock to Canal/Frome Junction	"26/10/2021
Chris Shaw,Angeline Cobie"	WHL-024	Alder	1	8.0		"=HYPERLINK(""https://what3words.com/bandage.growl.showrooms"",""bandage.growl.showrooms"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.776008%2C-2.344752"",""(51.776008, -2.344752)"")"	"

"	"
"	On other side of bank				
